# GREAT version 3.0.0	Species assembly: hg19	Association rule: Single nearest gene: 100000 bp max extension, curated regulatory domains included
NA_peak_21486	PDE5A (-68969)
NA_peak_25723	ENSG00000269964 (+89734)
NA_peak_1995	RABIF (+23186)
NA_peak_27032	NONE
NA_peak_19986	NONE
NA_peak_17168	ETS2 (-17694)
NA_peak_8449	NONE
NA_peak_18062	AMT (-213)
NA_peak_7611	NONE
NA_peak_10618	KDM8 (-458)
NA_peak_5610	COPS7A (-103)
NA_peak_27624	GLI3 (+69701)
NA_peak_16351	NONE
NA_peak_9074	NONE
NA_peak_6307	DYRK2 (+1666)
NA_peak_9452	NONE
NA_peak_32588	ITIH6 (-10785)
NA_peak_33502	MAGEA11 (+14757)
NA_peak_22606	NONE
NA_peak_3498	KCNMA1 (-85531)
NA_peak_3946	ABLIM1 (+26414)
NA_peak_33407	NONE
NA_peak_30165	TRHR (+22297)
NA_peak_27706	COBL (-28734)
NA_peak_28678	NONE
NA_peak_28580	NONE
NA_peak_25922	NONE
NA_peak_25549	PTP4A1 (+18116)
NA_peak_23541	NONE
NA_peak_23016	ARL15 (-9899)
NA_peak_24504	NONE
NA_peak_24413	NONE
NA_peak_24015	CSNK1G3 (-28188)
NA_peak_21372	NONE
NA_peak_18644	NONE
NA_peak_18419	NONE
NA_peak_19761	NONE
NA_peak_19531	NONE
NA_peak_19195	NONE
NA_peak_18803	NONE
NA_peak_13482	NONE
NA_peak_14276	NONE
NA_peak_16266	ANKMY1 (+21911)
NA_peak_15844	NONE
NA_peak_15271	COBLL1 (-18740)
NA_peak_17082	CLDN8 (-17746)
NA_peak_16723	TOX2 (-28132)
NA_peak_13119	SMIM21 (-28296)
NA_peak_12560	NONE
NA_peak_10391	NONE
NA_peak_9760	CAPN3 (-23550)
NA_peak_8387	NONE
NA_peak_2535	NONE
NA_peak_2286	LBR (+15957)
NA_peak_2129	NONE
NA_peak_2058	KCNH1 (+60019)
NA_peak_1873	NONE
NA_peak_3666	IFIT5 (+48901)
NA_peak_2784	NONE
NA_peak_31946	NONE
NA_peak_28708	MTPN (+40442)
NA_peak_18532	NONE
NA_peak_13125	NONE
NA_peak_4758	ORAOV1 (-13283)
NA_peak_3407	TET1 (+39669)
NA_peak_1018	NONE
NA_peak_480	NONE
NA_peak_11653	HOXB3 (-8734)
NA_peak_25328	CLIC5 (+145)
NA_peak_31474	NONE
NA_peak_13220	LYL1 (+19926)
NA_peak_22144	KLHL2 (+28565)
NA_peak_14803	NONE
NA_peak_11630	SNX11 (+60488)
NA_peak_6920	NONE
NA_peak_3345	NONE
NA_peak_44	NONE
NA_peak_18875	ZBTB20 (-17260)
NA_peak_463	NONE
NA_peak_18163	FHIT (+64332)
NA_peak_2618	GDI2 (+1234)
NA_peak_33174	GRIA3 (-43600)
NA_peak_24810	NONE
NA_peak_22590	NONE
NA_peak_12591	NONE
NA_peak_11413	ADAP2 (-5383)
NA_peak_10295	POLG (-21966)
NA_peak_9905	NONE
NA_peak_9877	ONECUT1 (-6803)
NA_peak_3310	ARID5B (-430)
NA_peak_33176	GRIA3 (-496)
NA_peak_29205	NONE
NA_peak_24711	ENSG00000170091 (+20435)
NA_peak_23822	NONE
NA_peak_16158	MFF (-29237)
NA_peak_16716	NONE
NA_peak_8014	NONE
NA_peak_6407	NONE
NA_peak_4130	NKX6-2 (+32310)
NA_peak_17044	ADAMTS1 (-5097)
NA_peak_22860	IL7R (-98545)
NA_peak_17279	ZNF280B (+86401)
NA_peak_12754	SKA1 (-36057)
NA_peak_27704	COBL (-9930)
NA_peak_22152	NONE
NA_peak_11389	SLC13A2 (+11016)
NA_peak_20127	LAP3 (-24605)
NA_peak_13316	RAB4B (+333)
NA_peak_9396	EFCAB11 (+8920)
NA_peak_254	NONE
NA_peak_23910	SEMA6A (+48470)
NA_peak_10813	NONE
NA_peak_29857	NONE
NA_peak_18209	PSMD6 (-83754)
NA_peak_15065	NONE
NA_peak_17200	PDE9A (+58135)
NA_peak_10565	ERI2 (+2710)
NA_peak_2533	SCCPDH (-27523)
NA_peak_24760	RUFY1 (+24263)
NA_peak_32377	NONE
NA_peak_33471	FMR1 (+1739)
NA_peak_33353	ARHGEF6 (+56188)
NA_peak_30803	NONE
NA_peak_29849	NONE
NA_peak_29728	NONE
NA_peak_29653	NONE
NA_peak_29397	NONE
NA_peak_30283	NONE
NA_peak_30210	NONE
NA_peak_27809	NONE
NA_peak_25554	NONE
NA_peak_26398	NONE
NA_peak_23431	NONE
NA_peak_21053	NONE
NA_peak_22105	NONE
NA_peak_21529	IL21 (-17579)
NA_peak_18506	NONE
NA_peak_19827	VPS8 (+64062)
NA_peak_19595	NONE
NA_peak_19156	XRN1 (+84601)
NA_peak_13806	RMDN2 (-31542)
NA_peak_15993	NONE
NA_peak_15872	NONE
NA_peak_15871	NONE
NA_peak_15431	NONE
NA_peak_12970	NONE
NA_peak_12834	TCF4 (+57186)
NA_peak_6818	NONE
NA_peak_2221	HLX (+22075)
NA_peak_5742	NONE
NA_peak_4931	NONE
NA_peak_1698	FAM163A (-72277)
NA_peak_5420	BLID (+2117)
NA_peak_3170	NONE
NA_peak_14722	NONE
NA_peak_3566	NONE
NA_peak_7454	SLC25A15 (+91522)
NA_peak_3751	SFRP5 (-14898)
NA_peak_19712	NONE
NA_peak_7627	PCDH8 (-83305)
NA_peak_5672	HEBP1 (-5610)
NA_peak_17588	NONE
NA_peak_24938	NONE
NA_peak_20187	NONE
NA_peak_4583	ALX4 (+36933)
NA_peak_7007	NONE
NA_peak_27406	NONE
NA_peak_16490	NONE
NA_peak_25882	BACH2 (-96965)
NA_peak_26806	NONE
NA_peak_20728	UGT2B11 (+34693)
NA_peak_20027	GRK4 (+45832)
NA_peak_18858	CCDC80 (-47001)
NA_peak_8682	NONE
NA_peak_6907	SLC41A2 (-35645)
NA_peak_3075	NONE
NA_peak_3774	TLX1 (+6491)
NA_peak_9512	TMEM121 (+29014)
NA_peak_7248	PDX1 (-8477)
NA_peak_1329	NONE
NA_peak_31254	GNA14 (+12617)
NA_peak_22943	NONE
NA_peak_23835	PJA2 (-508)
NA_peak_21606	NONE
NA_peak_17761	NONE
NA_peak_8522	RNASE1 (+8827)
NA_peak_4324	ANO5 (-534)
NA_peak_5424	NONE
NA_peak_2985	NONE
NA_peak_24725	HRH2 (+60583)
NA_peak_27640	STK17A (-93793)
NA_peak_19749	KCNMB3 (+399)
NA_peak_17640	C3orf20 (-84820)
NA_peak_26861	NONE
NA_peak_22465	IRX1 (+2265)
NA_peak_6154	CBX5 (+20238)
NA_peak_28918	NONE
NA_peak_24696	UBTD2 (-71185)
NA_peak_27471	NONE
NA_peak_18085	NONE
NA_peak_11282	NONE
NA_peak_1540	RXRG (-23242)
NA_peak_23624	NONE
NA_peak_2694	NONE
NA_peak_30693	NONE
NA_peak_27562	NONE
NA_peak_20130	NCAPG (+56214)
NA_peak_16165	SLC19A3 (-41586)
NA_peak_16833	BMP7 (+6045)
NA_peak_10561	GP2 (-393)
NA_peak_15758	SF3B1 (+20895)
NA_peak_9091	MAX (-61792)
NA_peak_3605	NONE
NA_peak_8709	NKX2-8 (-22237)
NA_peak_10697	CNEP1R1 (-80037)
NA_peak_4279	C11orf58 (+82089)
NA_peak_4943	TMEM126B (+421)
NA_peak_33192	NONE
NA_peak_33142	TMEM255A (-7179)
NA_peak_30586	IL33 (-69791)
NA_peak_31051	NONE
NA_peak_29985	NONE
NA_peak_29899	NONE
NA_peak_29291	NONE
NA_peak_30111	NONE
NA_peak_27584	VPS41 (+45082)
NA_peak_28753	TTC26 (+22508)
NA_peak_28438	FOXP2 (+88005)
NA_peak_22597	NONE
NA_peak_24128	CTXN3 (+18924)
NA_peak_20445	NONE
NA_peak_22093	NONE
NA_peak_22004	PDGFC (+18833)
NA_peak_21993	NONE
NA_peak_21533	NONE
NA_peak_21366	NONE
NA_peak_21207	ADH7 (-32228)
NA_peak_18001	NONE
NA_peak_19667	NONE
NA_peak_19570	GPR160 (+18546)
NA_peak_18840	NONE
NA_peak_13501	ITGB1BP1 (+63555)
NA_peak_15548	DNAJC10 (+17845)
NA_peak_16284	SIRPB2 (+4503)
NA_peak_12550	NONE
NA_peak_9883	NONE
NA_peak_9082	NONE
NA_peak_6575	NONE
NA_peak_6003	NONE
NA_peak_2423	EDARADD (-20676)
NA_peak_1813	NONE
NA_peak_4353	NONE
NA_peak_4335	NONE
NA_peak_5182	DCUN1D5 (+20955)
NA_peak_3163	NONE
NA_peak_3839	NONE
NA_peak_22372	TRAPPC11 (-40340)
NA_peak_12467	NONE
NA_peak_9581	GOLGA8G (-87601)
NA_peak_23384	TMEM167A (+34231)
NA_peak_16370	SNAP25 (-32373)
NA_peak_6979	CUX2 (+13247)
NA_peak_16133	NONE
NA_peak_31287	TLE4 (+96357)
NA_peak_29407	NONE
NA_peak_20847	NONE
NA_peak_17616	SLC6A11 (+6957)
NA_peak_1055	NONE
NA_peak_9885	NONE
NA_peak_9465	BCL11B (-3729)
NA_peak_3417	H2AFY2 (+38203)
NA_peak_28622	GRM8 (+19201)
NA_peak_14143	MEIS1 (+87825)
NA_peak_1692	FAM20B (-18380)
NA_peak_20185	GPR125 (+26100)
NA_peak_28145	NONE
NA_peak_26665	NONE
NA_peak_23177	NONE
NA_peak_24668	NONE
NA_peak_21974	MAP9 (-38906)
NA_peak_14084	EHBP1 (-52107)
NA_peak_13135	MBP (+48232)
NA_peak_2287	LBR (-11922)
NA_peak_1859	UCHL5 (+91650)
NA_peak_3617	BMPR1A (+18520)
NA_peak_9559	ATP10A (+99429)
NA_peak_195	PIGV (-38705)
NA_peak_252	MRPS15 (-937)
NA_peak_24872	GCNT2 (-27061)
NA_peak_22462	C5orf38 (+96478)
NA_peak_30021	CPQ (+86561)
NA_peak_13690	HADHA (+64926)
NA_peak_6597	ALX1 (+769)
NA_peak_26432	HINT3 (-595)
NA_peak_16664	GSS (-79)
NA_peak_1469	CRP (+8436)
NA_peak_12240	NONE
NA_peak_7276	UBL3 (-42962)
NA_peak_32635	FOXO4 (+7314)
NA_peak_25025	NONE
NA_peak_16815	BCAS1 (+2765)
NA_peak_5807	GYS2 (+30787)
NA_peak_13858	NONE
NA_peak_32950	TEX13A (-14212)
NA_peak_13602	NONE
NA_peak_17063	NONE
NA_peak_3647	NONE
NA_peak_17439	RPL3 (+1598)
NA_peak_13392	KLK10 (+2441)
NA_peak_9510	BTBD6 (+25702)
NA_peak_7264	MTUS2 (+21878)
NA_peak_4960	PRSS23 (+11794)
NA_peak_5338	NONE
NA_peak_33015	NONE
NA_peak_25413	EFHC1 (+736)
NA_peak_13235	LRRC25 (-5666)
NA_peak_10930	TANGO6 (-105)
NA_peak_391	SSBP3 (-53432)
NA_peak_19682	NONE
NA_peak_32769	NONE
NA_peak_31220	RORB (-76475)
NA_peak_30030	NONE
NA_peak_29496	NONE
NA_peak_27086	ELFN1 (-17898)
NA_peak_25592	NONE
NA_peak_25508	RAB23 (-32234)
NA_peak_26956	SERAC1 (+64942)
NA_peak_26641	NONE
NA_peak_26208	NONE
NA_peak_23231	CARTPT (+19786)
NA_peak_23169	NONE
NA_peak_24001	SNX24 (+76507)
NA_peak_20986	NKX6-1 (+7215)
NA_peak_17793	NONE
NA_peak_19894	NONE
NA_peak_17679	NONE
NA_peak_19559	NONE
NA_peak_18777	NONE
NA_peak_15729	NONE
NA_peak_15517	NONE
NA_peak_17068	NONE
NA_peak_12973	SERPINB3 (-19658)
NA_peak_12653	NONE
NA_peak_389	LDLRAD1 (-11901)
NA_peak_8995	SLC35F4 (-44174)
NA_peak_8857	NONE
NA_peak_8722	MIPOL1 (+57352)
NA_peak_7968	NONE
NA_peak_7953	KLF5 (-40202)
NA_peak_7802	NONE
NA_peak_6886	NONE
NA_peak_5125	CNTN5 (+30397)
NA_peak_1773	NONE
NA_peak_4948	EED (-35930)
NA_peak_3681	PPP1R3C (-52722)
NA_peak_27323	NONE
NA_peak_26571	SGK1 (+67758)
NA_peak_18013	FAM198A (+22032)
NA_peak_33055	NONE
NA_peak_30992	SHB (-65481)
NA_peak_29179	SCARA3 (-1339)
NA_peak_24059	NONE
NA_peak_19092	SLC35G2 (-16500)
NA_peak_14149	NONE
NA_peak_9234	NONE
NA_peak_188	MAN1C1 (+89915)
NA_peak_4727	PYGM (-3109)
NA_peak_27788	NONE
NA_peak_16238	NONE
NA_peak_25338	GPR110 (-84900)
NA_peak_19356	NONE
NA_peak_9236	NONE
NA_peak_6469	NONE
NA_peak_2754	CACNB2 (-43208)
NA_peak_23595	PCSK1 (+89934)
NA_peak_23323	LHFPL2 (+24682)
NA_peak_2406	NONE
NA_peak_28910	MNX1 (-3421)
NA_peak_3425	C10orf105 (+84322)
NA_peak_8835	NONE
NA_peak_20848	NONE
NA_peak_11137	ABR (+73807)
NA_peak_19585	SLC2A2 (+8002)
NA_peak_516	FOXD3 (-3210)
NA_peak_21369	NONE
NA_peak_10093	C15orf61 (-63897)
NA_peak_7922	NONE
NA_peak_6881	PAH (+32057)
NA_peak_16645	CBFA2T2 (-45417)
NA_peak_30494	NONE
NA_peak_33187	NONE
NA_peak_14776	MGAT5 (+58821)
NA_peak_13492	MBOAT2 (+69244)
NA_peak_6334	LYZ (-4215)
NA_peak_2056	NONE
NA_peak_6733	NONE
NA_peak_15018	NONE
NA_peak_29870	NONE
NA_peak_30378	NONE
NA_peak_6177	NONE
NA_peak_32830	NONE
NA_peak_32809	NONE
NA_peak_31915	PRKX (+62136)
NA_peak_32204	NONE
NA_peak_33341	NONE
NA_peak_33278	ENSG00000134602 (-43869)
NA_peak_32972	RNF128 (-7743)
NA_peak_30632	NONE
NA_peak_30567	PPAPDC2 (-11785)
NA_peak_30900	NONE
NA_peak_31644	GNG10 (+62074)
NA_peak_31541	NONE
NA_peak_30010	NONE
NA_peak_29229	TEX15 (-30471)
NA_peak_30395	NONE
NA_peak_30389	NONE
NA_peak_30227	NONE
NA_peak_28177	NONE
NA_peak_28863	NUB1 (+23672)
NA_peak_25757	LCA5 (+23839)
NA_peak_25054	NONE
NA_peak_27024	SDIM1 (+28608)
NA_peak_26463	NONE
NA_peak_23565	ANKRD32 (-997)
NA_peak_23487	GPR98 (-10549)
NA_peak_22740	NONE
NA_peak_22644	NONE
NA_peak_22564	NONE
NA_peak_22397	F11 (-96)
NA_peak_21454	NONE
NA_peak_18150	NONE
NA_peak_18759	NONE
NA_peak_14417	TRIM43 (-32961)
NA_peak_15078	FMNL2 (+90574)
NA_peak_14876	NONE
NA_peak_13098	NONE
NA_peak_808	LPHN2 (+8737)
NA_peak_11069	NONE
NA_peak_10142	NONE
NA_peak_9888	NONE
NA_peak_9855	AP4E1 (-60109)
NA_peak_2385	ENSG00000143674 (+3840)
NA_peak_141	HP1BP3 (-92756)
NA_peak_4914	CCDC90B (+31148)
NA_peak_5520	SNX19 (-99767)
NA_peak_2656	NONE
NA_peak_3100	PTPN20B (+92480)
NA_peak_2883	GAD2 (-67500)
NA_peak_26335	NONE
NA_peak_21042	ABCG2 (+49459)
NA_peak_6150	SMUG1 (+56503)
NA_peak_8278	NONE
NA_peak_2206	NONE
NA_peak_145	EIF4G3 (+75163)
NA_peak_18037	CLEC3B (+34183)
NA_peak_29355	NONE
NA_peak_16576	FOXA2 (+5737)
NA_peak_30809	FOCAD (+87121)
NA_peak_29504	SDCBP (+48990)
NA_peak_24424	NONE
NA_peak_24116	MARCH3 (+26505)
NA_peak_17470	NUP50 (-72781)
NA_peak_15182	TANC1 (-20240)
NA_peak_17186	NONE
NA_peak_12549	NONE
NA_peak_495	INADL (+10752)
NA_peak_10077	DENND4A (-9282)
NA_peak_277	MFSD2A (+18613)
NA_peak_1664	PAPPA2 (+91900)
NA_peak_4054	HMX3 (-23680)
NA_peak_15488	TTN (+82543)
NA_peak_15029	NONE
NA_peak_16679	VSTM2L (-86302)
NA_peak_12372	NONE
NA_peak_16812	NONE
NA_peak_5324	C11orf34 (-8521)
NA_peak_11109	NONE
NA_peak_9607	TRPM1 (+61591)
NA_peak_26983	AGPAT4 (+916)
NA_peak_27033	NONE
NA_peak_23537	NONE
NA_peak_12071	NONE
NA_peak_586	GADD45A (+2662)
NA_peak_13303	NONE
NA_peak_25204	MICB (-5876)
NA_peak_13406	ENSG00000231274 (-7910)
NA_peak_27569	ELMO1 (+40454)
NA_peak_13273	NONE
NA_peak_11416	NF1 (-26193)
NA_peak_15368	NONE
NA_peak_1352	NOTCH2NL (+4636)
NA_peak_6144	CALCOCO1 (-16337)
NA_peak_9240	NONE
NA_peak_26134	NONE
NA_peak_9869	GNB5 (+32932)
NA_peak_14752	NONE
NA_peak_25201	IER3 (-37966)
NA_peak_24217	SMAD5 (+54429)
NA_peak_22111	NPY1R (+66242)
NA_peak_15260	NONE
NA_peak_12452	NONE
NA_peak_13655	NONE
NA_peak_10913	NONE
NA_peak_12058	RNF157 (+46128)
NA_peak_8509	OR4K2 (+19869)
NA_peak_17460	MPPED1 (+25210)
NA_peak_29100	INTS10 (-62248)
NA_peak_11699	NONE
NA_peak_5521	NONE
NA_peak_10460	CREBBP (-45312)
NA_peak_11843	NONE
NA_peak_22863	NADK2 (-877)
NA_peak_26508	EPB41L2 (+24156)
NA_peak_16640	NONE
NA_peak_12432	NONE
NA_peak_10362	NONE
NA_peak_9161	COX16 (+41351)
NA_peak_5862	NONE
NA_peak_6888	NONE
NA_peak_1424	THEM4 (-27097)
NA_peak_3286	NONE
NA_peak_2803	NEBL (-74754)
NA_peak_32063	AP1S2 (+19804)
NA_peak_33161	NONE
NA_peak_30780	ADAMTSL1 (+23868)
NA_peak_31633	NONE
NA_peak_29931	NONE
NA_peak_29733	ZFHX4 (-15773)
NA_peak_30183	NONE
NA_peak_24865	NONE
NA_peak_26690	NONE
NA_peak_26444	NONE
NA_peak_22655	NONE
NA_peak_24581	NONE
NA_peak_21135	BMPR1B (-94604)
NA_peak_21977	GUCY1B3 (+19468)
NA_peak_21866	NONE
NA_peak_18614	NONE
NA_peak_17742	UBE2E2 (+15883)
NA_peak_19249	HLTF (+43951)
NA_peak_14389	NONE
NA_peak_14122	SPRED2 (-76243)
NA_peak_15933	NONE
NA_peak_15283	SCN2A (-876)
NA_peak_14927	GTDC1 (+76430)
NA_peak_12146	NONE
NA_peak_625	NONE
NA_peak_10973	ZFHX3 (-10794)
NA_peak_9970	NONE
NA_peak_9668	NONE
NA_peak_336	SLC5A9 (-81744)
NA_peak_8854	NONE
NA_peak_8003	NONE
NA_peak_7731	NONE
NA_peak_7409	UFM1 (+44039)
NA_peak_5630	CD69 (+4736)
NA_peak_6779	CCDC41 (+91344)
NA_peak_6323	CPM (+3869)
NA_peak_2473	NONE
NA_peak_5105	NONE
NA_peak_1910	NONE
NA_peak_1624	PIGC (+62397)
NA_peak_4361	NONE
NA_peak_3689	HHEX (+9814)
NA_peak_17117	ATP5O (-51440)
NA_peak_29188	FZD3 (+67649)
NA_peak_28691	CALD1 (+64637)
NA_peak_20773	NONE
NA_peak_4693	MS4A8 (-251)
NA_peak_3964	NONE
NA_peak_32630	P2RY4 (+4647)
NA_peak_25289	NONE
NA_peak_18124	NONE
NA_peak_19448	NONE
NA_peak_13923	LHCGR (-82507)
NA_peak_6201	NONE
NA_peak_2719	FAM171A1 (+11853)
NA_peak_31390	NONE
NA_peak_24856	NONE
NA_peak_17780	RARB (+8038)
NA_peak_19821	KLHL6 (+44638)
NA_peak_16583	NONE
NA_peak_22413	ZFP42 (-76707)
NA_peak_9466	BCL11B (-75419)
NA_peak_25261	ZFAND3 (-1052)
NA_peak_27433	SKAP2 (+5341)
NA_peak_23274	FAM169A (-68223)
NA_peak_24662	SPDL1 (-9588)
NA_peak_24532	GABRG2 (+60484)
NA_peak_8550	REM2 (+636)
NA_peak_1252	NONE
NA_peak_3444	CAMK2G (-12070)
NA_peak_22838	NONE
NA_peak_17089	NONE
NA_peak_29210	NONE
NA_peak_19974	GP5 (-139)
NA_peak_21321	PAPSS1 (-16790)
NA_peak_16202	DIS3L2 (+88625)
NA_peak_12971	BCL2 (+59135)
NA_peak_15332	NOSTRIN (+5382)
NA_peak_14096	UGP2 (-85544)
NA_peak_17757	NONE
NA_peak_13816	HNRNPLL (-24437)
NA_peak_2478	NONE
NA_peak_27125	RPA3 (+10271)
NA_peak_27343	NONE
NA_peak_26538	MOXD1 (+57139)
NA_peak_13834	NONE
NA_peak_4875	NONE
NA_peak_27677	C7orf69 (+7869)
NA_peak_31572	FSD1L (-9903)
NA_peak_18356	NONE
NA_peak_1405	FCGR1A (+11554)
NA_peak_3613	GRID1 (-48818)
NA_peak_11537	RARA (+4675)
NA_peak_22849	NONE
NA_peak_17669	NONE
NA_peak_13435	NONE
NA_peak_20645	NONE
NA_peak_3066	BMS1 (-46162)
NA_peak_25539	LGSN (-32380)
NA_peak_26732	FUCA2 (-23636)
NA_peak_17192	C2CD2 (+18476)
NA_peak_5952	H3F3C (+19003)
NA_peak_17154	HLCS (+37563)
NA_peak_7206	ATP12A (+3143)
NA_peak_16871	UCKL1 (-310)
NA_peak_33546	NONE
NA_peak_32041	GEMIN8 (-11883)
NA_peak_33103	SLC6A14 (-28833)
NA_peak_31259	NONE
NA_peak_30120	NONE
NA_peak_26363	GJA1 (+68807)
NA_peak_26248	HS3ST5 (-33791)
NA_peak_22813	NONE
NA_peak_20966	NONE
NA_peak_20322	NONE
NA_peak_20255	NONE
NA_peak_20179	KCNIP4 (+75016)
NA_peak_21917	PRSS48 (+19219)
NA_peak_21822	HHIP (+66778)
NA_peak_17813	SLC4A7 (+6760)
NA_peak_17768	NONE
NA_peak_19582	SLC2A2 (+26652)
NA_peak_14278	NONE
NA_peak_13980	ENSG00000270898 (-37595)
NA_peak_16072	NONE
NA_peak_15458	AGPS (-36471)
NA_peak_15373	TLK1 (+54240)
NA_peak_17127	RUNX1 (-78654)
NA_peak_16365	PAK7 (+9902)
NA_peak_12213	LAMA1 (+2709)
NA_peak_12664	NONE
NA_peak_563	PDE4B (+25519)
NA_peak_9804	NONE
NA_peak_9353	NONE
NA_peak_8381	NONE
NA_peak_6805	AMDHD1 (-781)
NA_peak_5975	ALG10B (+760)
NA_peak_5847	NONE
NA_peak_4878	NONE
NA_peak_4286	SERGEF (+79254)
NA_peak_5225	GRIA4 (+4713)
NA_peak_5161	YAP1 (+4991)
NA_peak_3039	NONE
NA_peak_14045	NONE
NA_peak_537	UBE2U (+64091)
NA_peak_4774	LAMTOR1 (-17)
NA_peak_9529	GOLGA8I (+92483)
NA_peak_32289	NONE
NA_peak_23137	RNF180 (+63519)
NA_peak_11269	COX10 (+21824)
NA_peak_10274	AGBL1 (+84615)
NA_peak_7432	STOML3 (+10064)
NA_peak_2230	DUSP10 (+24756)
NA_peak_4873	NONE
NA_peak_3727	SORBS1 (+79608)
NA_peak_1309	NOTCH2 (+20054)
NA_peak_33141	TMEM255A (+30170)
NA_peak_22171	SPOCK3 (+57394)
NA_peak_17915	CCR4 (-17280)
NA_peak_932	TGFBR3 (+66622)
NA_peak_69	PEX14 (+48873)
NA_peak_33246	NONE
NA_peak_12746	LIPG (+11160)
NA_peak_10990	CLEC18B (-8894)
NA_peak_17976	ACAA1 (+865)
NA_peak_5585	PARP11 (-49583)
NA_peak_18380	NONE
NA_peak_10173	CLK3 (+6286)
NA_peak_23563	NONE
NA_peak_32247	NONE
NA_peak_860	CTBS (-45556)
NA_peak_22528	NONE
NA_peak_7137	MPHOSPH8 (-34117)
NA_peak_24017	NONE
NA_peak_19258	CP (-16427)
NA_peak_16227	SH3BP4 (-25608)
NA_peak_18334	NONE
NA_peak_31869	NRARP (+8441)
NA_peak_11536	CDC6 (-3514)
NA_peak_12128	THOC1 (-1639)
NA_peak_7957	KLF5 (+82577)
NA_peak_6968	GIT2 (+22637)
NA_peak_5488	NONE
NA_peak_9779	TRIM69 (+95368)
NA_peak_27190	NONE
NA_peak_22574	NONE
NA_peak_20954	SCD5 (+93286)
NA_peak_16084	NONE
NA_peak_16432	SPTLC3 (-94827)
NA_peak_13348	CEACAM16 (-2055)
NA_peak_11050	NONE
NA_peak_6809	CDK17 (+4406)
NA_peak_1093	GPR88 (+3245)
NA_peak_11440	CDK5R1 (+3096)
NA_peak_11867	MARCH10 (+47342)
NA_peak_10777	SLC6A2 (-34679)
NA_peak_5507	NONE
NA_peak_5302	POU2AF1 (+28048)
NA_peak_27923	CD36 (+34505)
NA_peak_27290	PRPS1L1 (+23316)
NA_peak_25976	NDUFAF4 (-655)
NA_peak_25381	DEFB112 (-48101)
NA_peak_24395	SLC36A1 (-7820)
NA_peak_7429	NONE
NA_peak_10290	ABHD2 (-68764)
NA_peak_32983	FRMPD3 (-64466)
NA_peak_25280	KCNK16 (-5293)
NA_peak_16809	NONE
NA_peak_32073	GRPR (+79767)
NA_peak_11183	AIPL1 (+42459)
NA_peak_2156	NONE
NA_peak_32855	NONE
NA_peak_33474	FMR1 (+11696)
NA_peak_31165	SMC5 (+34368)
NA_peak_30723	NFIB (+4323)
NA_peak_31742	NONE
NA_peak_30662	PTPRD (-22897)
NA_peak_29889	PSKH2 (+31320)
NA_peak_28056	NONE
NA_peak_28680	LRGUK (-96484)
NA_peak_27180	NONE
NA_peak_25968	NONE
NA_peak_25606	NONE
NA_peak_25412	PAQR8 (+27659)
NA_peak_24885	ELOVL2 (-10887)
NA_peak_24680	RANBP17 (+83086)
NA_peak_22567	NONE
NA_peak_23882	YTHDC2 (-2701)
NA_peak_21092	NONE
NA_peak_22253	HPGD (-4978)
NA_peak_22094	NONE
NA_peak_18193	SYNPR (-85705)
NA_peak_19880	TPRG1 (-79440)
NA_peak_19206	PLSCR4 (-69383)
NA_peak_15943	UNC80 (+96125)
NA_peak_15941	UNC80 (-91112)
NA_peak_14674	NONE
NA_peak_14575	NONE
NA_peak_14456	AFF3 (+71498)
NA_peak_16846	SYCP2 (+46900)
NA_peak_951	TMED5 (+11161)
NA_peak_12967	NONE
NA_peak_9698	NONE
NA_peak_352	NONE
NA_peak_9039	TMEM30B (+3032)
NA_peak_8783	NONE
NA_peak_282	NFYC (+28483)
NA_peak_7778	NONE
NA_peak_6226	NONE
NA_peak_6199	LRIG3 (-1208)
NA_peak_5825	NONE
NA_peak_7131	NONE
NA_peak_1927	DENND1B (+99147)
NA_peak_4840	NONE
NA_peak_5222	NONE
NA_peak_1112	NONE
NA_peak_3586	CCSER2 (+28062)
NA_peak_3451	NONE
NA_peak_3083	PTPN20A (+92897)
NA_peak_2703	NONE
NA_peak_12359	CABLES1 (+43144)
NA_peak_27777	NONE
NA_peak_32933	NONE
NA_peak_31679	TNFSF8 (+35512)
NA_peak_29215	RBPMS (-68769)
NA_peak_20090	NONE
NA_peak_960	NONE
NA_peak_10918	CBFB (+7381)
NA_peak_10829	NONE
NA_peak_9845	NONE
NA_peak_8544	NONE
NA_peak_7931	NONE
NA_peak_4544	NONE
NA_peak_6002	PDZRN4 (+49868)
NA_peak_16627	NONE
NA_peak_3412	NEUROG3 (+18434)
NA_peak_27482	CPVL (-72700)
NA_peak_9875	ONECUT1 (+9258)
NA_peak_11579	UBTF (-10615)
NA_peak_18000	NONE
NA_peak_6974	TCTN1 (-11711)
NA_peak_32022	TMSB4X (+13763)
NA_peak_27846	CLIP2 (+5385)
NA_peak_18057	DHX30 (+97198)
NA_peak_16811	NONE
NA_peak_4076	NONE
NA_peak_4455	EIF3M (-28402)
NA_peak_9108	NONE
NA_peak_26140	NONE
NA_peak_24113	NONE
NA_peak_1165	NONE
NA_peak_2323	NONE
NA_peak_26149	SOBP (+38666)
NA_peak_31807	ZBTB43 (-39644)
NA_peak_25787	IBTK (-706)
NA_peak_465	NONE
NA_peak_1806	NONE
NA_peak_30761	NONE
NA_peak_25254	TMEM217 (+35291)
