# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
NA_peak_1	OR4F5 (-26466)
NA_peak_31770	STRBP (+91859), GPR21 (+142190)
NA_peak_31771	STRBP (+33248), GPR21 (+200801)
NA_peak_31772	CRB2 (-45035), STRBP (-42649)
NA_peak_31773	CRB2 (+72474), DENND1A (+501373)
NA_peak_31774	CRB2 (+83658), DENND1A (+490189)
NA_peak_31775	DENND1A (+259763), CRB2 (+314084)
NA_peak_31776	DENND1A (+251314), CRB2 (+322533)
NA_peak_31777	DENND1A (+61504), CRB2 (+512343)
NA_peak_31778	LHX2 (-69780), DENND1A (-11723)
NA_peak_31779	NR5A1 (-16031), NR6A1 (+247816)
NA_peak_31780	NR5A1 (-58272), NR6A1 (+205575)
NA_peak_31781	NR5A1 (-67458), NR6A1 (+196389)
NA_peak_31782	NR5A1 (-85001), NR6A1 (+178846)
NA_peak_31783	NR5A1 (-86377), NR6A1 (+177470)
NA_peak_31784	NR5A1 (-138899), NR6A1 (+124948)
NA_peak_31785	NR5A1 (-151798), NR6A1 (+112049)
NA_peak_31786	NR5A1 (-217572), NR6A1 (+46275)
NA_peak_31787	NR5A1 (-242165), NR6A1 (+21682)
NA_peak_31788	NR5A1 (-261742), NR6A1 (+2105)
NA_peak_31789	GOLGA1 (-9101), SCAI (+193296)
NA_peak_31790	GAPVD1 (+14222), MAPKAP1 (+431180)
NA_peak_31791	GAPVD1 (+33115), MAPKAP1 (+412287)
NA_peak_31792	GAPVD1 (+201305), MAPKAP1 (+244097)
NA_peak_31793	MAPKAP1 (+191703), GAPVD1 (+253699)
NA_peak_31794	MAPKAP1 (+175271), GAPVD1 (+270131)
NA_peak_31795	MVB12B (-566945), PBX3 (+12466)
NA_peak_31796	MVB12B (-565061), PBX3 (+14350)
NA_peak_31797	MVB12B (-477269), PBX3 (+102142)
NA_peak_31798	MVB12B (-475934), PBX3 (+103477)
NA_peak_31799	MVB12B (-468336), PBX3 (+111075)
NA_peak_31800	MVB12B (-6646), PBX3 (+572765)
NA_peak_31801	LMX1B (-239123), MVB12B (+48471)
NA_peak_31802	LMX1B (-238791), MVB12B (+48803)
NA_peak_31803	LMX1B (-194817), MVB12B (+92777)
NA_peak_31804	LMX1B (-185121), MVB12B (+102473)
NA_peak_31805	LMX1B (-27486), MVB12B (+260108)
NA_peak_31806	ZBTB43 (-160697), LMX1B (+29875)
NA_peak_31807	ZBTB43 (-39644), LMX1B (+150928)
NA_peak_31808	ZBTB43 (-30421), LMX1B (+160151)
NA_peak_31809	ZBTB34 (-35804), ZBTB43 (+38529)
NA_peak_31810	ZBTB34 (-5343), ZBTB43 (+68990)
NA_peak_31811	RALGPS1 (+27018), ANGPTL2 (+181091)
NA_peak_31812	RALGPS1 (+85724), ANGPTL2 (+122385)
NA_peak_31813	ANGPTL2 (+76357), RALGPS1 (+131752)
NA_peak_31814	ANGPTL2 (+46641), RALGPS1 (+161468)
NA_peak_31815	GARNL3 (-105962), ANGPTL2 (-35681)
NA_peak_31816	SLC2A8 (-125767), GARNL3 (+6849)
NA_peak_31817	STXBP1 (+2306), PTRH1 (+110302)
NA_peak_31818	FPGS (-4098)
NA_peak_31819	FPGS (+579)
NA_peak_31820	ST6GALNAC6 (-1536)
NA_peak_31821	DPM2 (-48815), NAIF1 (+80022)
NA_peak_31822	NAIF1 (-678), SLC25A25 (-202)
NA_peak_31823	NTMT1 (-200456), PPP2R4 (+297110)
NA_peak_31824	NTMT1 (-39857), PPP2R4 (+457709)
NA_peak_31825	PTGES (+40128), PRRX2 (+47278)
NA_peak_31826	USP20 (+95172), FNBP1 (+112520)
NA_peak_31827	NCS1 (-37807), GPR107 (+81345)
NA_peak_31828	PRDM12 (-71349), FUBP3 (+13639)
NA_peak_31829	PRDM12 (-55871), FUBP3 (+29117)
NA_peak_31830	PRDM12 (-54573), FUBP3 (+30415)
NA_peak_31831	PRDM12 (-4215)
NA_peak_31832	ABL1 (+13991), QRFP (+165901)
NA_peak_31833	QRFP (+68380), ABL1 (+111512)
NA_peak_31834	QRFP (+34697), ABL1 (+145195)
NA_peak_31835	QRFP (+27124), ABL1 (+152768)
NA_peak_31836	FIBCD1 (-3902)
NA_peak_31837	UCK1 (-3711)
NA_peak_31838	UCK1 (-134871), RAPGEF1 (+43771)
NA_peak_31839	UCK1 (-147253), RAPGEF1 (+31389)
NA_peak_31840	UCK1 (-158179), RAPGEF1 (+20463)
NA_peak_31841	UCK1 (-159684), RAPGEF1 (+18958)
NA_peak_31842	UCK1 (-177151), RAPGEF1 (+1491)
NA_peak_31843	NTNG2 (-44070), MED27 (-37969)
NA_peak_31844	MED27 (-56586), NTNG2 (-25453)
NA_peak_31845	NTNG2 (+23637), SETX (+169401)
NA_peak_31846	NTNG2 (+25579), SETX (+167459)
NA_peak_31847	SETX (+85964), NTNG2 (+107074)
NA_peak_31848	SETX (+71522), NTNG2 (+121516)
NA_peak_31849	DDX31 (-167591), AK8 (+40785)
NA_peak_31850	OBP2B (-57593), SURF6 (+61014)
NA_peak_31851	SARDH (+48308), DBH (+55252)
NA_peak_31852	SARDH (-5858), VAV2 (+246532)
NA_peak_31853	SARDH (-152611), VAV2 (+99779)
NA_peak_31854	SARDH (-188779), VAV2 (+63611)
NA_peak_31855	SARDH (-224746), VAV2 (+27644)
NA_peak_31856	RXRA (-25120), WDR5 (+192096)
NA_peak_31857	PPP1R26 (-182803), OLFM1 (+221479)
NA_peak_31858	PPP1R26 (-181663), OLFM1 (+222619)
NA_peak_31859	CAMSAP1 (+74950), KCNT1 (+130082)
NA_peak_31860	NACC2 (-20206), C9orf69 (+48077)
NA_peak_31861	C9orf69 (-41969), LHX3 (+42326)
NA_peak_31862	C9orf69 (-51468), LHX3 (+32827)
NA_peak_31863	C9orf69 (-61610), LHX3 (+22685)
NA_peak_31864	NOTCH1 (-755)
NA_peak_31865	EGFL7 (-85052), NOTCH1 (-27942)
NA_peak_31866	FAM69B (-13538), AGPAT2 (-11609)
NA_peak_31867	LCN15 (-15968), TMEM141 (-10874)
NA_peak_31868	TMEM141 (-2394)
NA_peak_31869	NRARP (+8441), TOR4A (+16061)
NA_peak_31870	NRARP (+2570), TOR4A (+21932)
NA_peak_31871	NRARP (-26182), EXD3 (+94829)
NA_peak_31872	ENTPD8 (-4405)
NA_peak_31873	CACNA1B (-149067), EHMT1 (+109720)
NA_peak_31874	CACNA1B (-127565), EHMT1 (+131222)
NA_peak_31875	CACNA1B (+349075)
NA_peak_31876	MT-ND2 (-4155), MT-ND1 (-2992)
NA_peak_31877	MT-ND2 (-3639), MT-ND1 (-2476)
NA_peak_31878	MT-CO1 (-3605), MT-ND2 (-2171), MT-ND1 (-1008)
NA_peak_31879	MT-CO2 (-4327), MT-CO1 (-2645), MT-ND2 (-1211), MT-ND1 (-48)
NA_peak_31880	MT-ATP6 (-4346), MT-ATP8 (-4185), MT-CO2 (-3405), MT-CO1 (-1723), MT-ND2 (-289), MT-ND1 (+874)
NA_peak_31881	MT-CO3 (-4172), MT-ATP6 (-3492), MT-ATP8 (-3331), MT-CO2 (-2551), MT-CO1 (-869), MT-ND2 (+565)
NA_peak_31882	MT-ND3 (-4618), MT-CO3 (-3766), MT-ATP6 (-3086), MT-ATP8 (-2925), MT-CO2 (-2145), MT-CO1 (-463), MT-ND2 (+971)
NA_peak_31883	MT-ND4 (-4181), MT-ND4L (-3891), MT-ND3 (-3480), MT-CO3 (-2628), MT-ATP6 (-1948), MT-ATP8 (-1787), MT-CO2 (-1007), MT-CO1 (+675)
NA_peak_31884	MT-ND4 (-3616), MT-ND4L (-3326), MT-ND3 (-2915), MT-CO3 (-2063), MT-ATP6 (-1383), MT-ATP8 (-1222), MT-CO2 (-442)
NA_peak_31885	MT-ND5 (-4430), MT-ND4 (-2853), MT-ND4L (-2563), MT-ND3 (-2152), MT-CO3 (-1300), MT-ATP6 (-620), MT-ATP8 (-459), MT-CO2 (+321)
NA_peak_31886	MT-ND5 (-3682), MT-ND4 (-2105), MT-ND4L (-1815), MT-ND3 (-1404), MT-CO3 (-552), MT-ATP6 (+128), MT-ATP8 (+289)
NA_peak_31887	MT-ND5 (-3227), MT-ND4 (-1650), MT-ND4L (-1360), MT-ND3 (-949), MT-CO3 (-97), MT-ATP6 (+583), MT-ATP8 (+744)
NA_peak_31888	MT-CYB (-4338), MT-ND5 (-1928), MT-ND4 (-351), MT-ND4L (-61), MT-ND3 (+350)
NA_peak_31889	MT-CYB (-2234), MT-ND5 (+176)
NA_peak_31890	MT-CYB (-1347), MT-ND6 (+1273)
NA_peak_31891	MT-CYB (-93), MT-ND6 (+19)
NA_peak_31892	MT-ND6 (-1295), MT-CYB (+1221)
NA_peak_31893	SHOX (-211127), PPP2R3B (-26507)
NA_peak_31894	SHOX (+166537), CRLF2 (+579911)
NA_peak_31895	SHOX (+226950), CRLF2 (+519498)
NA_peak_31896	SHOX (+312768), CRLF2 (+433680)
NA_peak_31897	CRLF2 (+7254), SHOX (+739194)
NA_peak_31898	CRLF2 (+6425), SHOX (+740023)
NA_peak_31899	P2RY8 (-42547), AKAP17A (-11939)
NA_peak_31900	ASMT (+184926), ZBED1 (+500188)
NA_peak_31901	CD99 (-128397), DHRSX (-61804)
NA_peak_31902	DHRSX (-154195), CD99 (-36006)
NA_peak_31903	DHRSX (-176023), CD99 (-14178)
NA_peak_31904	XG (-5225), CD99 (+55648)
NA_peak_31905	GYG2 (-46875), XG (+29895)
NA_peak_31906	GYG2 (-43922), XG (+32848)
NA_peak_31907	GYG2 (+30568), ARSD (+69961)
NA_peak_31908	ARSD (-33638), ARSE (+1281)
NA_peak_31909	ARSE (+562)
NA_peak_31910	ARSF (-5523), ARSH (+29335)
NA_peak_31911	ARSF (+66628), MXRA5 (+238542)
NA_peak_31912	MXRA5 (+83274), ARSF (+221896)
NA_peak_31913	MXRA5 (-186433), PRKX (+180534)
NA_peak_31914	MXRA5 (-291782), PRKX (+75185)
NA_peak_31915	MXRA5 (-304831), PRKX (+62136)
NA_peak_31916	MXRA5 (-342580), PRKX (+24387)
NA_peak_31917	PRKX (-226608)
NA_peak_31918	PRKX (-249671)
NA_peak_31919	PRKX (-250262)
NA_peak_31920	PRKX (-462448)
NA_peak_31921	PRKX (-538419)
NA_peak_31922	PRKX (-780313)
NA_peak_31923	PRKX (-856318)
NA_peak_31924	PRKX (-891745)
NA_peak_31925	PRKX (-943024)
NA_peak_31926	PRKX (-995889)
NA_peak_31927	NONE
NA_peak_31928	NONE
NA_peak_31929	NONE
NA_peak_31930	NONE
NA_peak_31931	NONE
NA_peak_31932	NONE
NA_peak_31933	NONE
NA_peak_31934	NLGN4X (+934940)
NA_peak_31935	NLGN4X (+810959)
NA_peak_31936	NLGN4X (+639684)
NA_peak_31937	NLGN4X (+174807)
NA_peak_31938	NLGN4X (+38856)
NA_peak_31939	NLGN4X (-33342), VCX3A (+272913)
NA_peak_31940	NLGN4X (-201662), VCX3A (+104593)
NA_peak_31941	NLGN4X (-204646), VCX3A (+101609)
NA_peak_31942	NLGN4X (-217969), VCX3A (+88286)
NA_peak_31943	VCX3A (-234147), HDHD1 (+378893)
NA_peak_31944	VCX3A (-377057), HDHD1 (+235983)
NA_peak_31945	VCX (-585066), STS (+87740)
NA_peak_31946	VCX (-430226), STS (+242580)
NA_peak_31947	VCX (-357756), STS (+315050)
NA_peak_31948	VCX (-187970), STS (+484836)
NA_peak_31949	VCX (-82267), STS (+590539)
NA_peak_31950	VCX (+19230), PNPLA4 (+65951)
NA_peak_31951	PNPLA4 (-20199), VCX2 (+223625)
NA_peak_31952	PNPLA4 (-56192), VCX2 (+187632)
NA_peak_31953	PNPLA4 (-59879), VCX2 (+183945)
NA_peak_31954	PNPLA4 (-66291), VCX2 (+177533)
NA_peak_31955	PNPLA4 (-69225), VCX2 (+174599)
NA_peak_31956	VCX3B (-266224), VCX2 (-27339)
NA_peak_31957	VCX3B (-206355), VCX2 (-87208)
NA_peak_31958	VCX2 (-161471), VCX3B (-132092)
NA_peak_31959	VCX2 (-210555), VCX3B (-83008)
NA_peak_31960	VCX2 (-234116), VCX3B (-59447)
NA_peak_31961	VCX3B (+42160), KAL1 (+225196)
NA_peak_31962	KAL1 (+84770), VCX3B (+182586)
NA_peak_31963	KAL1 (+43406), VCX3B (+223950)
NA_peak_31964	KAL1 (+41888), VCX3B (+225468)
NA_peak_31965	KAL1 (+34018), VCX3B (+233338)
NA_peak_31966	KAL1 (+33624), VCX3B (+233732)
NA_peak_31967	FAM9A (-119003), FAM9B (+113787)
NA_peak_31968	FAM9A (-173667), FAM9B (+59123)
NA_peak_31969	FAM9A (-185244), FAM9B (+47546)
NA_peak_31970	FAM9A (-190404), FAM9B (+42386)
NA_peak_31971	TBL1X (-403790), FAM9B (-27090)
NA_peak_31972	TBL1X (-316157), FAM9B (-114723)
NA_peak_31973	TBL1X (-305577), FAM9B (-125303)
NA_peak_31974	TBL1X (-255453), FAM9B (-175427)
NA_peak_31975	FAM9B (-258677), TBL1X (-172203)
NA_peak_31976	FAM9B (-287026), TBL1X (-143854)
NA_peak_31977	FAM9B (-321345), TBL1X (-109535)
NA_peak_31978	FAM9B (-353414), TBL1X (-77466)
NA_peak_31979	TBL1X (-1856)
NA_peak_31980	ENSG00000234469 (-168867), SHROOM2 (+12029)
NA_peak_31981	CLCN4 (+109198), MID1 (+354452)
NA_peak_31982	CLCN4 (+154044), MID1 (+309606)
NA_peak_31983	MID1 (+196446), CLCN4 (+267204)
NA_peak_31984	MID1 (+85810), CLCN4 (+377840)
NA_peak_31985	MID1 (+85314), CLCN4 (+378336)
NA_peak_31986	HCCS (-486829), MID1 (-53918)
NA_peak_31987	HCCS (-406027), MID1 (-134720)
NA_peak_31988	HCCS (-405773), MID1 (-134974)
NA_peak_31989	HCCS (-318895), MID1 (-221852)
NA_peak_31990	HCCS (-314981), MID1 (-225766)
NA_peak_31991	HCCS (-278995), MID1 (-261752)
NA_peak_31992	MID1 (-480629), HCCS (-60118)
NA_peak_31993	MID1 (-527711), HCCS (-13036)
NA_peak_31994	AMELX (-116337), HCCS (+65775)
NA_peak_31995	AMELX (-72185), HCCS (+109927)
NA_peak_31996	AMELX (+8301), ARHGAP6 (+363987)
NA_peak_31997	AMELX (+20190), ARHGAP6 (+352098)
NA_peak_31998	AMELX (+33230), ARHGAP6 (+339058)
NA_peak_31999	AMELX (+35830), ARHGAP6 (+336458)
NA_peak_32000	AMELX (+38521), ARHGAP6 (+333767)
NA_peak_32001	AMELX (+75486), ARHGAP6 (+296802)
NA_peak_32002	AMELX (+103806), ARHGAP6 (+268482)
NA_peak_32003	AMELX (+105109), ARHGAP6 (+267179)
NA_peak_32004	ARHGAP6 (+137434), AMELX (+234854)
NA_peak_32005	ARHGAP6 (+113758), AMELX (+258530)
NA_peak_32006	FRMPD4 (-353756), MSL3 (+26551)
NA_peak_32007	FRMPD4 (-254132), MSL3 (+126175)
NA_peak_32008	FRMPD4 (-252464), MSL3 (+127843)
NA_peak_32009	FRMPD4 (-252123), MSL3 (+128184)
NA_peak_32010	FRMPD4 (-185405), MSL3 (+194902)
NA_peak_32011	FRMPD4 (-171701), MSL3 (+208606)
NA_peak_32012	FRMPD4 (-161962), MSL3 (+218345)
NA_peak_32013	FRMPD4 (-146867), MSL3 (+233440)
NA_peak_32014	FRMPD4 (-145518), MSL3 (+234789)
NA_peak_32015	FRMPD4 (-128923), MSL3 (+251384)
NA_peak_32016	FRMPD4 (-69736), MSL3 (+310571)
NA_peak_32017	PRPS2 (-602374), FRMPD4 (+50566)
NA_peak_32018	PRPS2 (-242391), FRMPD4 (+410549)
NA_peak_32019	TMSB4X (-27164), TLR8 (+41326)
NA_peak_32020	TMSB4X (-4144)
NA_peak_32021	TMSB4X (+9868), FAM9C (+59624)
NA_peak_32022	TMSB4X (+13763), FAM9C (+55729)
NA_peak_32023	TMSB4X (+23005), FAM9C (+46487)
NA_peak_32024	FAM9C (+18231), TMSB4X (+51261)
NA_peak_32025	FAM9C (+15247), TMSB4X (+54245)
NA_peak_32026	FAM9C (+12770), TMSB4X (+56722)
NA_peak_32027	FAM9C (-36688), ATXN3L (+239109)
NA_peak_32028	FAM9C (-55852), ATXN3L (+219945)
NA_peak_32029	EGFL6 (-235094), ATXN3L (-14129)
NA_peak_32030	EGFL6 (-184610), ATXN3L (-64613)
NA_peak_32031	EGFL6 (-171736), ATXN3L (-77487)
NA_peak_32032	EGFL6 (-171331), ATXN3L (-77892)
NA_peak_32033	EGFL6 (-168067), ATXN3L (-81156)
NA_peak_32034	ATXN3L (-217276), EGFL6 (-31947)
NA_peak_32035	RAB9A (-157)
NA_peak_32036	GPM6B (+15038), OFD1 (+67559)
NA_peak_32037	GPM6B (-17106), GEMIN8 (+195444)
NA_peak_32038	GPM6B (-19332), GEMIN8 (+193218)
NA_peak_32039	GPM6B (-19694), GEMIN8 (+192856)
NA_peak_32040	GPM6B (-201712), GEMIN8 (+10838)
NA_peak_32041	GLRA2 (-487756), GEMIN8 (-11883)
NA_peak_32042	GLRA2 (-472875), GEMIN8 (-26764)
NA_peak_32043	GLRA2 (-472503), GEMIN8 (-27136)
NA_peak_32044	GLRA2 (-362309), GEMIN8 (-137330)
NA_peak_32045	GLRA2 (-274289), GEMIN8 (-225350)
NA_peak_32046	GEMIN8 (-369112), GLRA2 (-130527)
NA_peak_32047	GEMIN8 (-436686), GLRA2 (-62953)
NA_peak_32048	MOSPD2 (+48892), ASB9 (+347815)
NA_peak_32049	ASB9 (+108682), MOSPD2 (+288025)
NA_peak_32050	ASB9 (+108276), MOSPD2 (+288431)
NA_peak_32051	ASB9 (+31298), MOSPD2 (+365409)
NA_peak_32052	ASB9 (-30294), ASB11 (+15214)
NA_peak_32053	ASB11 (+695)
NA_peak_32054	BMX (+10249), PIR (+19069)
NA_peak_32055	PIR (+746)
NA_peak_32056	PIR (-34083), ACE2 (+74422)
NA_peak_32057	PIR (-74912), ACE2 (+33593)
NA_peak_32058	ACE2 (-4572)
NA_peak_32059	ACE2 (-15824), TMEM27 (+47138)
NA_peak_32060	ACE2 (-21052), TMEM27 (+41910)
NA_peak_32061	TMEM27 (-54608), CA5B (-18631)
NA_peak_32062	ZRSR2 (-44785), CA5B (+7417)
NA_peak_32063	AP1S2 (+19804), ZRSR2 (+44655)
NA_peak_32064	AP1S2 (+6351), ZRSR2 (+58108)
NA_peak_32065	AP1S2 (+2982), ZRSR2 (+61477)
NA_peak_32066	AP1S2 (+2270), ZRSR2 (+62189)
NA_peak_32067	GRPR (-196767), AP1S2 (-71858)
NA_peak_32068	AP1S2 (-143108), GRPR (-125517)
NA_peak_32069	AP1S2 (-171297), GRPR (-97328)
NA_peak_32070	AP1S2 (-213262), GRPR (-55363)
NA_peak_32071	S100G (-494440), GRPR (+32162)
NA_peak_32072	S100G (-473101), GRPR (+53501)
NA_peak_32073	S100G (-446835), GRPR (+79767)
NA_peak_32074	S100G (-409508), GRPR (+117094)
NA_peak_32075	S100G (-353700), GRPR (+172902)
NA_peak_32076	S100G (-222665), GRPR (+303937)
NA_peak_32077	S100G (-212086), GRPR (+314516)
NA_peak_32078	S100G (-195359), GRPR (+331243)
NA_peak_32079	S100G (-171636), GRPR (+354966)
NA_peak_32080	S100G (-67374), GRPR (+459228)
NA_peak_32081	S100G (-7131), GRPR (+519471)
NA_peak_32082	S100G (-848)
NA_peak_32083	CTPS2 (+16997), S100G (+45062)
NA_peak_32084	TXLNG (-31537), SYAP1 (+35258)
NA_peak_32085	RBBP7 (+40849), TXLNG (+42610)
NA_peak_32086	RBBP7 (+496)
NA_peak_32087	NHS (-291155), REPS2 (+137574)
NA_peak_32088	NHS (-132809), REPS2 (+295920)
NA_peak_32089	NHS (-26222), REPS2 (+402507)
NA_peak_32090	SCML1 (-290774), NHS (+71272)
NA_peak_32091	SCML1 (-280996), NHS (+81050)
NA_peak_32092	SCML1 (-279584), NHS (+82462)
NA_peak_32093	SCML1 (-268235), NHS (+93811)
NA_peak_32094	SCML1 (-211920), NHS (+150126)
NA_peak_32095	SCML1 (-200887), NHS (+161159)
NA_peak_32096	SCML1 (-102731), NHS (+259315)
NA_peak_32097	SCML1 (-12258), NHS (+349788)
NA_peak_32098	SCML1 (-6840), NHS (+355206)
NA_peak_32099	SCML1 (-3887)
NA_peak_32100	RAI2 (-28164), SCML2 (+465226)
NA_peak_32101	RAI2 (-28479), SCML2 (+464911)
NA_peak_32102	RAI2 (-106574), SCML2 (+386816)
NA_peak_32103	RAI2 (-279332), SCML2 (+214058)
NA_peak_32104	RAI2 (-421823), SCML2 (+71567)
NA_peak_32105	RAI2 (-491222), SCML2 (+2168)
NA_peak_32106	SCML2 (-70879), CDKL5 (-16582)
NA_peak_32107	SCML2 (-79640), CDKL5 (-7821)
NA_peak_32108	CDKL5 (+85594), RS1 (+144327)
NA_peak_32109	RS1 (+111370), CDKL5 (+118551)
NA_peak_32110	RS1 (+99329), CDKL5 (+130592)
NA_peak_32111	RS1 (+52702), CDKL5 (+177219)
NA_peak_32112	RS1 (+52287), CDKL5 (+177634)
NA_peak_32113	RS1 (+48749), CDKL5 (+181172)
NA_peak_32114	PPEF1 (+21864), PHKA2 (+271820)
NA_peak_32115	PPEF1 (+57644), PHKA2 (+236040)
NA_peak_32116	PPEF1 (+65014), PHKA2 (+228670)
NA_peak_32117	PPEF1 (+101699), PHKA2 (+191985)
NA_peak_32118	PPEF1 (+102447), PHKA2 (+191237)
NA_peak_32119	PPEF1 (+104670), PHKA2 (+189014)
NA_peak_32120	PPEF1 (+135923), PHKA2 (+157761)
NA_peak_32121	PHKA2 (+3927), PPEF1 (+289757)
NA_peak_32122	PHKA2 (-11294), GPR64 (+126667)
NA_peak_32123	PHKA2 (-55996), GPR64 (+81965)
NA_peak_32124	PHKA2 (-105975), GPR64 (+31986)
NA_peak_32125	PHKA2 (-134286), GPR64 (+3675)
NA_peak_32126	PDHA1 (-130043), GPR64 (-91291)
NA_peak_32127	PDHA1 (+878)
NA_peak_32128	MAP3K15 (-134355), SH3KBP1 (+237985)
NA_peak_32129	MAP3K15 (-147205), SH3KBP1 (+225135)
NA_peak_32130	MAP3K15 (-167365), SH3KBP1 (+204975)
NA_peak_32131	MAP3K15 (-229012), SH3KBP1 (+143328)
NA_peak_32132	MAP3K15 (-341002), SH3KBP1 (+31338)
NA_peak_32133	SH3KBP1 (-11769), CXorf23 (+70928)
NA_peak_32134	CXorf23 (-84719), MAP7D2 (+61900)
NA_peak_32135	MAP7D2 (-8748), EIF1AX (+16179)
NA_peak_32136	MAP7D2 (-10771), EIF1AX (+14156)
NA_peak_32137	EIF1AX (-5447), RPS6KA3 (+119549)
NA_peak_32138	EIF1AX (-15730), RPS6KA3 (+109266)
NA_peak_32139	EIF1AX (-123768), RPS6KA3 (+1228)
NA_peak_32140	RPS6KA3 (-4475)
NA_peak_32141	RPS6KA3 (-54042)
NA_peak_32142	RPS6KA3 (-107096)
NA_peak_32143	CNKSR2 (-984810), RPS6KA3 (-123212)
NA_peak_32144	CNKSR2 (-931991), RPS6KA3 (-176031)
NA_peak_32145	CNKSR2 (-882130), RPS6KA3 (-225892)
NA_peak_32146	CNKSR2 (-874516), RPS6KA3 (-233506)
NA_peak_32147	CNKSR2 (-857438), RPS6KA3 (-250584)
NA_peak_32148	CNKSR2 (-749923), RPS6KA3 (-358099)
NA_peak_32149	CNKSR2 (-621458), RPS6KA3 (-486564)
NA_peak_32150	CNKSR2 (-611865), RPS6KA3 (-496157)
NA_peak_32151	CNKSR2 (-607127), RPS6KA3 (-500895)
NA_peak_32152	RPS6KA3 (-843419), CNKSR2 (-264603)
NA_peak_32153	RPS6KA3 (-975384), CNKSR2 (-132638)
NA_peak_32154	CNKSR2 (+23072), SMPX (+360229)
NA_peak_32155	CNKSR2 (+67123), SMPX (+316178)
NA_peak_32156	CNKSR2 (+87278), SMPX (+296023)
NA_peak_32157	CNKSR2 (+130963), SMPX (+252338)
NA_peak_32158	CNKSR2 (+183430), SMPX (+199871)
NA_peak_32159	SMPX (+122879), CNKSR2 (+260422)
NA_peak_32160	SMPX (+55044), CNKSR2 (+328257)
NA_peak_32161	MBTPS2 (-40790), SMPX (-40683)
NA_peak_32162	SMS (-54047), YY2 (+30539)
NA_peak_32163	SMS (-14236), YY2 (+70350)
NA_peak_32164	PHEX (-78560), SMS (+13308)
NA_peak_32165	ZNF645 (-230974), PHEX (+9532)
NA_peak_32166	ZNF645 (-224234), PHEX (+16272)
NA_peak_32167	ZNF645 (-187277), PHEX (+53229)
NA_peak_32168	ZNF645 (-163116), PHEX (+77390)
NA_peak_32169	ZNF645 (-126717), PHEX (+113789)
NA_peak_32170	ZNF645 (-95935), PHEX (+144571)
NA_peak_32171	ZNF645 (-94871), PHEX (+145635)
NA_peak_32172	ZNF645 (-41244), PHEX (+199262)
NA_peak_32173	DDX53 (-413136), ZNF645 (+313886)
NA_peak_32174	DDX53 (-251606), ZNF645 (+475416)
NA_peak_32175	DDX53 (-227632), ZNF645 (+499390)
NA_peak_32176	PRDX4 (-127537), PTCHD1 (+205893)
NA_peak_32177	PRDX4 (-113057), PTCHD1 (+220373)
NA_peak_32178	PRDX4 (-29154), PTCHD1 (+304276)
NA_peak_32179	ACOT9 (+2458), PRDX4 (+73369)
NA_peak_32180	SAT1 (+5308), APOO (+119453)
NA_peak_32181	APOO (+48515), SAT1 (+76246)
NA_peak_32182	APOO (+43948), SAT1 (+80813)
NA_peak_32183	APOO (-78101), KLHL15 (+41151)
NA_peak_32184	APOO (-79728), KLHL15 (+39524)
NA_peak_32185	KLHL15 (+974)
NA_peak_32186	ZFX (-86273), EIF2S3 (+8756)
NA_peak_32187	ZFX (-67110), EIF2S3 (+27919)
NA_peak_32188	ZFX (-3889)
NA_peak_32189	ZFX (-1014)
NA_peak_32190	PDK3 (-305347), ZFX (+10364)
NA_peak_32191	PDK3 (-277746), ZFX (+37965)
NA_peak_32192	PDK3 (-275697), ZFX (+40014)
NA_peak_32193	PDK3 (-250137), ZFX (+65574)
NA_peak_32194	PDK3 (-248348), ZFX (+67363)
NA_peak_32195	PDK3 (-241158), ZFX (+74553)
NA_peak_32196	PDK3 (-199393), ZFX (+116318)
NA_peak_32197	PDK3 (-182989), ZFX (+132722)
NA_peak_32198	PDK3 (-43295), ZFX (+272416)
NA_peak_32199	PDK3 (+65492), PCYT1B (+116288)
NA_peak_32200	PDK3 (+79499), PCYT1B (+102281)
NA_peak_32201	PCYT1B (-25324), POLA1 (-21387)
NA_peak_32202	POLA1 (+58707), ARX (+263294)
NA_peak_32203	POLA1 (+76925), ARX (+245076)
NA_peak_32204	ARX (+138024), POLA1 (+183977)
NA_peak_32205	ARX (+135656), POLA1 (+186345)
NA_peak_32206	ARX (+129164), POLA1 (+192837)
NA_peak_32207	ARX (+104291), POLA1 (+217710)
NA_peak_32208	ARX (+100078), POLA1 (+221923)
NA_peak_32209	ARX (+66622), POLA1 (+255379)
NA_peak_32210	ARX (+22204), POLA1 (+299797)
NA_peak_32211	ARX (-35230)
NA_peak_32212	ARX (-40468)
NA_peak_32213	MAGEB18 (-837121), ARX (-285274)
NA_peak_32214	MAGEB18 (-793266), ARX (-329129)
NA_peak_32215	MAGEB18 (-727395), ARX (-395000)
NA_peak_32216	MAGEB18 (-691513), ARX (-430882)
NA_peak_32217	MAGEB18 (-663012), ARX (-459383)
NA_peak_32218	MAGEB18 (-601829), ARX (-520566)
NA_peak_32219	MAGEB18 (-593106), ARX (-529289)
NA_peak_32220	ARX (-620714), MAGEB18 (-501681)
NA_peak_32221	ARX (-628407), MAGEB18 (-493988)
NA_peak_32222	ARX (-717660), MAGEB18 (-404735)
